ORF_ID_transcript,ORF_ID_gene
ENST00000337107.10_23_829,ENSG00000219073.7_23_829
ENST00000290122.7_20_829,ENSG00000142789.19_20_829
ENST00000400259.5_425_865,ENSG00000070831.15_425_865
ENST00000374651.8_224_3604,ENSG00000184677.16_224_3604
ENST00000404138.5_512_4228,ENSG00000184677.16_512_4228
ENST00000400191.7_124_3183,ENSG00000133216.16_124_3183
ENST00000356634.7_150_2705,ENSG00000004487.15_150_2705
ENST00000400181.8_105_2732,ENSG00000004487.15_105_2732
ENST00000374550.7_46_579,ENSG00000142676.12_46_579
ENST00000418390.6_350_2665,ENSG00000011007.12_350_2665
ENST00000246151.8_112_744,ENSG00000057757.9_112_744
ENST00000495365.5_90_311,ENSG00000011009.10_90_311
ENST00000495365.5_322_696,ENSG00000011009.10_322_696
ENST00000236255.4_53_1867,ENSG00000158055.15_53_1867
ENST00000374399.8_22_225,ENSG00000001461.16_22_225
ENST00000374399.8_369_1586,ENSG00000001461.16_369_1586
ENST00000425530.3_222_914,ENSG00000117602.11_222_914
ENST00000323848.13_316_3027,ENSG00000133226.16_316_3027
ENST00000374389.8_29_2767,ENSG00000133226.16_29_2767
ENST00000374379.8_210_956,ENSG00000169504.14_210_956
ENST00000374358.4_554_1024,ENSG00000183726.10_554_1024
ENST00000374343.4_180_2171,ENSG00000204178.9_180_2171
ENST00000374338.4_120_1043,ENSG00000157978.11_120_1043
ENST00000474283.1_108_332,ENSG00000157978.11_108_332
ENST00000374332.8_337_2220,ENSG00000117643.14_337_2220
ENST00000374315.1_39_1319,ENSG00000162430.16_39_1319
ENST00000559265.1_1_444,ENSG00000255054.3_1_444
ENST00000374303.6_211_1086,ENSG00000117640.17_211_1086
ENST00000619836.4_274_1296,ENSG00000175087.9_274_1296
ENST00000374266.6_114_515,ENSG00000142684.8_114_515
ENST00000374253.9_40_2199,ENSG00000142675.17_40_2199
ENST00000476272.6_140_2416,ENSG00000130695.14_140_2416
ENST00000270792.9_981_1259,ENSG00000142669.14_981_1259
ENST00000326279.10_115_741,ENSG00000131914.10_115_741
ENST00000525682.6_94_990,ENSG00000117682.16_94_990
ENST00000236342.11_94_1092,ENSG00000117682.16_94_1092
ENST00000374168.6_191_2359,ENSG00000117676.13_191_2359
ENST00000324856.11_372_7226,ENSG00000117713.18_372_7226
ENST00000078527.8_332_1810,ENSG00000060642.10_332_1810
ENST00000374142.8_501_1259,ENSG00000204160.11_501_1259
ENST00000339276.5_151_819,ENSG00000175793.11_151_819
ENST00000321265.9_124_1116,ENSG00000090273.13_124_1116
ENST00000522111.2_168_761,ENSG00000253368.3_168_761
ENST00000361771.7_384_2411,ENSG00000142784.15_384_2411
ENST00000611517.4_153_677,ENSG00000186501.14_153_677
ENST00000464720.5_51_266,ENSG00000186501.14_51_266
ENST00000318074.9_225_1817,ENSG00000142765.17_225_1817
ENST00000373949.5_54_887,ENSG00000009780.15_54_887
ENST00000373943.8_264_953,ENSG00000117758.13_264_953
ENST00000311772.9_59_1111,ENSG00000117751.17_59_1111
ENST00000373894.7_192_1556,ENSG00000130768.14_192_1556
ENST00000373888.8_146_1264,ENSG00000130768.14_146_1264
ENST00000335514.9_52_369,ENSG00000130770.17_52_369
ENST00000253063.3_322_1761,ENSG00000130766.4_322_1761
ENST00000479574.5_244_813,ENSG00000130772.13_244_813
ENST00000373836.4_215_2350,ENSG00000204138.12_215_2350
ENST00000398958.6_261_1523,ENSG00000180198.15_261_1523
ENST00000373830.4_45_887,ENSG00000180098.9_45_887
ENST00000373816.5_139_1827,ENSG00000162419.12_139_1827
ENST00000542507.5_264_2000,ENSG00000198492.15_264_2000
ENST00000234961.6_243_1358,ENSG00000116329.10_243_1358
ENST00000343067.8_128_2719,ENSG00000159023.19_128_2719
ENST00000356093.6_128_2620,ENSG00000159023.19_128_2620
ENST00000347529.7_47_2371,ENSG00000159023.19_47_2371
ENST00000460378.1_38_400,ENSG00000159023.19_38_400
ENST00000345512.7_130_4467,ENSG00000060656.19_130_4467
ENST00000373779.7_130_4437,ENSG00000060656.19_130_4437
ENST00000373714.5_262_984,ENSG00000121766.15_262_984
ENST00000373709.7_151_1515,ENSG00000168528.11_151_1515
ENST00000536384.2_202_1578,ENSG00000168528.11_202_1578
ENST00000271064.11_77_1477,ENSG00000142910.15_77_1477
ENST00000327300.11_228_1496,ENSG00000121774.17_228_1496
ENST00000336294.9_147_1622,ENSG00000121775.17_147_1622
ENST00000476968.5_601_1419,ENSG00000121775.17_601_1419
ENST00000373625.7_103_1701,ENSG00000025800.13_103_1701
ENST00000373609.1_282_1919,ENSG00000084652.15_282_1919
ENST00000373602.9_348_947,ENSG00000160050.14_348_947
ENST00000421922.6_101_823,ENSG00000160050.14_101_823
ENST00000291358.10_22_1419,ENSG00000160051.11_22_1419
ENST00000373586.1_73_1047,ENSG00000084623.11_73_1047
ENST00000474371.1_187_609,ENSG00000084623.11_187_609
ENST00000373548.7_85_1530,ENSG00000116478.11_85_1530
ENST00000480336.1_1899_3071,ENSG00000254553.1_1899_3071
ENST00000525506.1_90_467,ENSG00000162521.18_90_467
ENST00000401073.6_71_3352,ENSG00000162522.10_71_3352
ENST00000373475.9_258_1478,ENSG00000116497.17_258_1478
ENST00000294517.10_588_1967,ENSG00000142920.16_588_1967
ENST00000361328.7_160_3282,ENSG00000121903.14_160_3282
ENST00000611874.4_441_3866,ENSG00000197056.9_441_3866
ENST00000314607.10_81_4724,ENSG00000146463.11_81_4724
ENST00000356090.8_128_2314,ENSG00000020129.15_128_2314
ENST00000373210.3_246_2828,ENSG00000134698.10_246_2828
ENST00000373204.5_214_2784,ENSG00000092847.11_214_2784
ENST00000324350.9_325_966,ENSG00000126070.19_325_966
ENST00000373191.8_395_2929,ENSG00000126070.19_395_2929
ENST00000491443.2_17_514,ENSG00000126070.19_17_514
ENST00000207457.7_128_1417,ENSG00000092850.11_128_1417
ENST00000373178.4_46_1119,ENSG00000116863.10_46_1119
ENST00000316156.8_616_2862,ENSG00000116871.15_616_2862
ENST00000373151.6_379_2739,ENSG00000116871.15_379_2739
ENST00000354618.9_225_3089,ENSG00000054118.13_225_3089
ENST00000296218.7_77_850,ENSG00000163879.10_77_850
ENST00000373045.10_382_1752,ENSG00000185090.14_382_1752
ENST00000397631.7_301_1050,ENSG00000185090.14_301_1050
ENST00000373042.4_260_589,ENSG00000197982.13_260_589
ENST00000373014.4_62_820,ENSG00000183520.11_62_820
ENST00000432648.7_189_734,ENSG00000174574.15_189_734
ENST00000372969.7_88_405,ENSG00000168653.10_88_405
ENST00000372915.7_88_22251,ENSG00000127603.23_88_22251
ENST00000361689.6_53_16342,ENSG00000127603.23_53_16342
ENST00000564288.5_778_23442,ENSG00000127603.23_778_23442
ENST00000289893.8_4020_17945,ENSG00000127603.23_4020_17945
ENST00000324379.9_20_922,ENSG00000084072.16_20_922
ENST00000372830.5_1_942,ENSG00000084072.16_1_942
ENST00000475350.5_184_849,ENSG00000084072.16_184_849
ENST00000372797.7_571_1986,ENSG00000131236.16_571_1986
ENST00000372802.5_567_1979,ENSG00000131236.16_567_1979
ENST00000372771.4_28_5769,ENSG00000117000.8_28_5769
ENST00000372759.3_172_1590,ENSG00000084073.8_172_1590
ENST00000372718.7_425_1711,ENSG00000084070.11_425_1711
ENST00000411995.6_376_1977,ENSG00000187801.14_376_1977
ENST00000372705.3_406_1872,ENSG00000187815.9_406_1872
ENST00000358527.6_401_1519,ENSG00000164002.11_401_1519
ENST00000372699.7_252_1385,ENSG00000117010.15_252_1385
ENST00000427410.6_188_1078,ENSG00000066136.20_188_1078
ENST00000372652.5_269_1585,ENSG00000066136.20_269_1585
ENST00000308733.9_7_1380,ENSG00000066136.20_7_1380
ENST00000372621.8_509_2281,ENSG00000171793.13_509_2281
ENST00000431473.3_253_1302,ENSG00000177181.14_253_1302
ENST00000372561.3_17_940,ENSG00000127125.8_17_940
ENST00000477155.5_2050_3492,ENSG00000186409.14_2050_3492
ENST00000304979.7_23_553,ENSG00000171960.10_23_553
ENST00000328249.3_1039_2193,ENSG00000164010.13_1039_2193
ENST00000372502.5_303_1247,ENSG00000164011.17_303_1247
ENST00000372507.5_84_1016,ENSG00000164011.17_84_1016
ENST00000335282.4_1_402,ENSG00000186973.10_1_402
ENST00000372492.8_502_4074,ENSG00000243710.7_502_4074
ENST00000439858.5_395_445,ENSG00000179178.10_395_445
ENST00000439858.5_507_1163,ENSG00000179178.10_507_1163
ENST00000634258.2_132_10370,ENSG00000198198.15_132_10370
ENST00000359947.8_371_6061,ENSG00000142949.16_371_6061
ENST00000372396.3_195_3326,ENSG00000066135.12_195_3326
ENST00000372343.7_663_3551,ENSG00000117408.10_663_3551
ENST00000495421.1_11_85,ENSG00000132768.13_11_85
ENST00000495421.1_343_1581,ENSG00000132768.13_343_1581
ENST00000472174.6_394_1008,ENSG00000117410.13_394_1008
ENST00000355387.6_781_2148,ENSG00000187147.17_781_2148
ENST00000488865.2_287_538,ENSG00000187147.17_287_538
ENST00000372224.8_120_2288,ENSG00000142945.12_120_2288
ENST00000372201.4_357_2177,ENSG00000173846.12_357_2177
ENST00000450269.5_340_1212,ENSG00000222009.8_340_1212
ENST00000246337.8_120_1220,ENSG00000126088.13_120_1220
ENST00000372090.5_584_2113,ENSG00000132773.11_584_2113
ENST00000401061.8_500_1126,ENSG00000132763.14_500_1126
ENST00000372070.7_748_1722,ENSG00000117448.13_748_1722
ENST00000350030.7_88_2451,ENSG00000132780.16_88_2451
ENST00000351223.7_83_1429,ENSG00000132780.16_83_1429
ENST00000372025.4_1158_1898,ENSG00000159596.6_1158_1898
ENST00000361297.6_284_5677,ENSG00000086015.20_284_5677
ENST00000372003.5_465_1187,ENSG00000117472.9_465_1187
ENST00000371980.3_94_810,ENSG00000171357.5_94_810
ENST00000243167.8_85_1821,ENSG00000117480.15_85_1821
ENST00000371873.9_150_833,ENSG00000162368.13_150_833
ENST00000428468.5_15_2210,ENSG00000117859.18_15_2210
ENST00000287727.7_453_4727,ENSG00000157077.14_453_4727
ENST00000257181.9_187_1122,ENSG00000134748.12_187_1122
ENST00000361314.4_39_599,ENSG00000116157.5_39_599
ENST00000294353.6_173_2377,ENSG00000162378.12_173_2377
ENST00000478631.6_121_1218,ENSG00000116171.17_121_1218
ENST00000371509.8_112_1620,ENSG00000116171.17_112_1620
ENST00000430330.6_94_513,ENSG00000116171.17_94_513
ENST00000371500.7_429_2267,ENSG00000174348.13_429_2267
ENST00000371486.3_516_2489,ENSG00000157184.6_516_2489
ENST00000468572.2_86_430,ENSG00000157184.6_86_430
ENST00000527060.5_270_314,ENSG00000211452.10_270_314
ENST00000527060.5_327_686,ENSG00000211452.10_327_686
ENST00000610607.4_23_274,ENSG00000211452.10_23_274
ENST00000319223.8_212_1495,ENSG00000116212.14_212_1495
ENST00000234827.5_201_824,ENSG00000116205.12_201_824
ENST00000360840.9_78_1346,ENSG00000116221.15_78_1346
ENST00000343744.6_83_1864,ENSG00000162390.17_83_1864
ENST00000371281.3_127_1248,ENSG00000243725.6_127_1248
ENST00000371268.3_332_904,ENSG00000143001.4_332_904
ENST00000302118.5_666_2366,ENSG00000169174.10_666_2366
ENST00000371244.8_67_1722,ENSG00000162409.10_67_1722
ENST00000361249.3_97_1848,ENSG00000157131.10_97_1848
ENST00000303721.11_175_1827,ENSG00000172456.17_175_1827
ENST00000371208.3_258_2441,ENSG00000134709.10_258_2441
ENST00000371158.6_115_5517,ENSG00000132849.19_115_5517
ENST00000498273.1_296_2890,ENSG00000240563.1_296_2890
ENST00000371146.5_329_2683,ENSG00000162607.12_329_2683
ENST00000371129.3_195_1460,ENSG00000132855.4_195_1460
ENST00000317868.8_208_1581,ENSG00000125703.14_208_1581
ENST00000371108.8_306_1826,ENSG00000088035.15_306_1826
ENST00000371088.4_247_2133,ENSG00000203965.12_247_2133
ENST00000371084.7_214_1899,ENSG00000079739.15_214_1899
ENST00000371080.5_397_1575,ENSG00000185483.11_397_1575
ENST00000371079.5_376_3186,ENSG00000185483.11_376_3186
ENST00000290039.5_146_3775,ENSG00000158966.13_146_3775
ENST00000371072.8_259_2112,ENSG00000162437.14_259_2112
ENST00000371069.4_202_3111,ENSG00000116675.15_202_3111
ENST00000371059.7_74_181,ENSG00000116678.19_74_181
ENST00000371059.7_186_3059,ENSG00000116678.19_186_3059
ENST00000371060.7_186_2873,ENSG00000116678.19_186_2873
ENST00000349533.10_186_3680,ENSG00000116678.19_186_3680
ENST00000484243.1_16_444,ENSG00000213625.8_16_444
ENST00000613538.1_115_534,ENSG00000213625.8_115_534
ENST00000344610.12_151_2868,ENSG00000116678.19_151_2868
ENST00000329654.8_209_2395,ENSG00000184588.17_209_2395
ENST00000357692.6_264_1844,ENSG00000198160.14_264_1844
ENST00000401041.5_71_1765,ENSG00000198160.14_71_1765
ENST00000370986.8_435_929,ENSG00000116717.11_435_929
ENST00000370951.5_266_1570,ENSG00000116754.13_266_1570
ENST00000370950.7_227_1534,ENSG00000116754.13_227_1534
ENST00000370938.7_145_1359,ENSG00000116761.11_145_1359
ENST00000370898.7_68_1849,ENSG00000254685.6_68_1849
ENST00000467578.6_42_386,ENSG00000254685.6_42_386
ENST00000370895.5_36_2126,ENSG00000259030.6_36_2126
ENST00000370867.7_90_866,ENSG00000162623.15_90_866
ENST00000370841.8_438_1700,ENSG00000117054.13_438_1700
ENST00000526129.5_356_1339,ENSG00000117054.13_356_1339
ENST00000319942.7_72_1064,ENSG00000137955.15_72_1064
ENST00000328299.3_149_1063,ENSG00000184005.10_149_1063
ENST00000420977.1_247_747,ENSG00000226415.1_247_747
ENST00000477717.5_236_1243,ENSG00000117069.14_236_1243
ENST00000480428.1_197_469,ENSG00000117069.14_197_469
ENST00000496845.1_195_509,ENSG00000117069.14_195_509
ENST00000354567.6_264_1949,ENSG00000154027.18_264_1949
ENST00000443751.3_129_1931,ENSG00000180488.14_129_1931
ENST00000330010.12_430_2130,ENSG00000162614.18_430_2130
ENST00000342754.5_24_1727,ENSG00000162614.18_24_1727
ENST00000370763.5_258_1268,ENSG00000162616.8_258_1268
ENST00000370759.3_194_1138,ENSG00000137960.5_194_1138
ENST00000448345.2_193_420,ENSG00000213560.4_193_420
ENST00000370747.8_86_1417,ENSG00000137965.10_86_1417
ENST00000370721.5_667_4797,ENSG00000117114.19_667_4797
ENST00000370728.5_667_5022,ENSG00000117114.19_667_5022
ENST00000370689.6_265_1317,ENSG00000142875.19_265_1317
ENST00000370673.7_193_540,ENSG00000203943.8_193_540
ENST00000370654.5_16_1062,ENSG00000117133.10_16_1062
ENST00000294664.10_256_2853,ENSG00000162643.12_256_2853
ENST00000451137.6_225_1367,ENSG00000142871.16_225_1367
ENST00000370558.8_325_1419,ENSG00000097033.14_325_1419
ENST00000482504.1_6_1163,ENSG00000097033.14_6_1163
ENST00000370550.9_385_1431,ENSG00000153936.16_385_1431
ENST00000370544.9_781_1275,ENSG00000143013.12_781_1275
ENST00000370521.7_360_3311,ENSG00000065243.19_360_3311
ENST00000370454.8_670_2664,ENSG00000171488.14_670_2664
ENST00000337338.9_408_2981,ENSG00000171492.14_408_2981
ENST00000340281.8_144_1889,ENSG00000162664.16_144_1889
ENST00000234626.10_156_1841,ENSG00000097046.12_156_1841
ENST00000636805.1_301_5643,ENSG00000189195.11_301_5643
ENST00000610020.1_110_1945,ENSG00000122484.8_110_1945
ENST00000370321.7_91_981,ENSG00000122406.12_91_981
ENST00000370298.8_290_2068,ENSG00000143033.17_290_2068
ENST00000343253.11_503_4864,ENSG00000122483.17_503_4864
ENST00000370272.8_759_1286,ENSG00000117505.12_759_1286
ENST00000260506.12_152_1804,ENSG00000137942.16_152_1804
ENST00000370214.8_25_2001,ENSG00000117528.11_25_2001
ENST00000271227.10_103_2061,ENSG00000143036.16_103_2061
ENST00000529450.5_52_1911,ENSG00000143036.16_52_1911
ENST00000370203.8_292_1080,ENSG00000152078.9_292_1080
ENST00000370202.4_77_877,ENSG00000122481.16_77_877
ENST00000263893.10_21_605,ENSG00000122481.16_21_605
ENST00000495272.5_189_944,ENSG00000122481.16_189_944
ENST00000415278.1_679_1386,ENSG00000228502.1_679_1386
ENST00000476419.5_44_1111,ENSG00000117569.18_44_1111
ENST00000426398.2_44_1636,ENSG00000117569.18_44_1636
ENST00000306121.7_10_1362,ENSG00000162627.16_10_1362
ENST00000370185.7_642_2786,ENSG00000117600.12_642_2786
ENST00000263174.8_376_2028,ENSG00000099260.10_376_2028
ENST00000361915.7_401_4996,ENSG00000162688.16_401_4996
ENST00000638968.1_1296_2699,ENSG00000283761.1_1296_2699
ENST00000640357.1_101_997,ENSG00000283761.1_101_997
ENST00000370152.7_182_1606,ENSG00000156875.13_182_1606
ENST00000370141.6_7_1449,ENSG00000122435.9_7_1449
ENST00000370128.8_170_1267,ENSG00000137996.12_170_1267
ENST00000361544.10_465_2333,ENSG00000079335.18_465_2333
ENST00000336454.3_356_2137,ENSG00000079335.18_356_2137
ENST00000294728.6_153_2318,ENSG00000162692.10_153_2318
ENST00000370112.8_188_1315,ENSG00000162695.11_188_1315
ENST00000524631.5_381_1928,ENSG00000185946.15_381_1928
ENST00000415279.1_528_692,ENSG00000232952.1_528_692
ENST00000370078.1_38_1162,ENSG00000198890.7_38_1162
ENST00000370074.8_776_2032,ENSG00000162631.18_776_2032
ENST00000370035.7_344_1420,ENSG00000162636.15_344_1420
ENST00000370025.8_270_1907,ENSG00000134186.11_270_1907
ENST00000370008.3_51_1826,ENSG00000116266.10_51_1826
ENST00000406462.6_831_2825,ENSG00000121957.12_831_2825
ENST00000338272.8_1071_1292,ENSG00000215717.5_1071_1292
ENST00000473828.1_68_271,ENSG00000215717.5_68_271
ENST00000369939.7_184_3222,ENSG00000116299.16_184_3222
ENST00000527996.5_201_2906,ENSG00000116299.16_201_2906
ENST00000234677.6_76_1617,ENSG00000031698.12_76_1617
ENST00000271332.3_62_8830,ENSG00000143126.7_62_8830
ENST00000497545.5_1416_1907,ENSG00000162650.16_1416_1907
ENST00000497545.5_2812_3870,ENSG00000162650.16_2812_3870
ENST00000369851.5_111_1172,ENSG00000065135.10_111_1172
ENST00000528667.5_495_3131,ENSG00000116337.15_495_3131
ENST00000326729.9_275_853,ENSG00000168765.16_275_853
ENST00000495742.5_369_710,ENSG00000168765.16_369_710
ENST00000369831.6_101_754,ENSG00000213366.12_101_754
ENST00000241337.8_57_704,ENSG00000213366.12_57_704
ENST00000309851.9_61_708,ENSG00000134184.12_61_708
ENST00000349334.7_41_577,ENSG00000134184.12_41_577
ENST00000329608.10_392_2053,ENSG00000184371.13_392_2053
ENST00000369799.9_368_1957,ENSG00000168710.17_368_1957
ENST00000369795.7_23_2533,ENSG00000143093.14_23_2533
ENST00000331565.4_486_2666,ENSG00000197106.6_486_2666
ENST00000369784.7_1033_3831,ENSG00000162775.14_1033_3831
ENST00000545121.5_209_1456,ENSG00000134255.13_209_1456
ENST00000369738.8_366_938,ENSG00000173947.13_366_938
ENST00000369737.4_34_507,ENSG00000173947.13_34_507
ENST00000369722.7_607_1374,ENSG00000116459.10_607_1374
ENST00000369709.3_180_731,ENSG00000116473.14_180_731
ENST00000369702.4_672_3092,ENSG00000064703.11_672_3092
ENST00000271277.10_226_2142,ENSG00000143079.14_226_2142
ENST00000263168.3_673_1530,ENSG00000116489.12_673_1530
ENST00000369645.5_390_3317,ENSG00000155363.18_390_3317
ENST00000361127.5_199_3393,ENSG00000198799.11_199_3393
ENST00000369617.8_286_3735,ENSG00000081026.18_286_3735
ENST00000307546.13_76_4518,ENSG00000081026.18_76_4518
ENST00000369563.3_540_2042,ENSG00000118655.4_540_2042
ENST00000426820.6_344_3973,ENSG00000163349.21_344_3973
ENST00000320334.4_75_1292,ENSG00000116774.11_75_1292
ENST00000355485.6_272_1843,ENSG00000173218.14_272_1843
ENST00000369503.8_182_1771,ENSG00000163393.12_182_1771
ENST00000295598.9_253_3321,ENSG00000163399.15_253_3321
ENST00000393203.2_148_2784,ENSG00000134247.9_148_2784
ENST00000369466.8_45_3530,ENSG00000116830.11_45_3530
ENST00000356554.7_736_2658,ENSG00000198162.12_736_2658
ENST00000369448.3_248_1420,ENSG00000183508.4_248_1420
ENST00000349139.5_48_2876,ENSG00000065183.15_48_2876
ENST00000369409.8_137_1735,ENSG00000092621.11_137_1735
ENST00000334163.3_162_1763,ENSG00000186141.8_162_1763
ENST00000369314.1_393_761,ENSG00000121851.12_393_761
ENST00000471856.1_143_1384,ENSG00000180867.10_143_1384
ENST00000369258.8_21_2711,ENSG00000131778.18_21_2711
ENST00000234739.7_741_5018,ENSG00000116128.10_741_5018
ENST00000618462.4_394_7113,ENSG00000178104.19_394_7113
ENST00000529945.2_609_3788,ENSG00000178104.19_609_3788
ENST00000369153.2_701_1075,ENSG00000178096.8_701_1075
ENST00000369130.7_547_2256,ENSG00000136631.12_547_2256
ENST00000369124.4_279_1505,ENSG00000023902.13_279_1505
ENST00000369111.8_971_1981,ENSG00000118298.10_971_1981
ENST00000369094.5_147_1037,ENSG00000159208.15_147_1037
ENST00000581066.2_113_241,ENSG00000266472.5_113_241
ENST00000324862.6_166_2214,ENSG00000117360.12_166_2214
ENST00000369068.4_191_4387,ENSG00000163125.15_191_4387
ENST00000369064.7_35_2188,ENSG00000143374.16_35_2188
ENST00000606933.5_32_1939,ENSG00000143374.16_32_1939
ENST00000369049.8_135_1835,ENSG00000143369.14_135_1835
ENST00000369047.8_126_1745,ENSG00000143369.14_126_1745
ENST00000271643.8_290_3511,ENSG00000143382.14_290_3511
ENST00000271640.9_191_4063,ENSG00000143379.12_191_4063
ENST00000368962.6_127_1317,ENSG00000143379.12_127_1317
ENST00000368947.8_498_1511,ENSG00000143412.9_498_1511
ENST00000271620.7_157_1515,ENSG00000143363.15_157_1515
ENST00000368926.5_238_1131,ENSG00000143443.9_238_1131
ENST00000368921.4_2803_3072,ENSG00000213190.3_2803_3072
ENST00000368918.7_332_1675,ENSG00000143458.11_332_1675
ENST00000368905.8_112_801,ENSG00000163156.11_112_801
ENST00000349792.9_447_2093,ENSG00000143398.19_447_2093
ENST00000368881.8_75_1214,ENSG00000159352.15_75_1214
ENST00000336715.10_156_3857,ENSG00000143373.17_156_3857
ENST00000290541.6_55_846,ENSG00000159377.10_55_846
ENST00000271636.11_152_3742,ENSG00000143375.14_152_3742
ENST00000368849.7_63_1232,ENSG00000143367.15_63_1232
ENST00000368848.6_60_1154,ENSG00000143367.15_60_1154
ENST00000458013.6_121_1743,ENSG00000143376.12_121_1743
ENST00000368843.7_121_1704,ENSG00000143376.12_121_1704
ENST00000479191.1_1_276,ENSG00000178796.12_1_276
ENST00000368738.3_56_385,ENSG00000163220.10_56_385
ENST00000368698.3_331_588,ENSG00000160678.11_331_588
