Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	sBC_nORF1 Spectral Count	sBC_nORF2 Spectral Count	sBC_nORF1 Unique Spectral Count	sBC_nORF2 Unique Spectral Count	sBC_nORF1 Total Spectral Count	sBC_nORF2 Total Spectral Count	sBC_nORF1 Intensity	sBC_nORF2 Intensity	sBC_nORF1 Unique Intensity	sBC_nORF2 Unique Intensity	sBC_nORF1 Total Intensity	sBC_nORF2 Total Intensity	Indistinguishable Proteins
ENSG00000003249.13_90020028_90006335_248	ENSG00000003249.13_90020028_90006335_248			248	38.30				1.0000	0.9990	6	10	10	10	6	4	6	4	6	4	3.13577536E8	2.394396E8	3.13577536E8	2.394396E8	3.13577536E8	2.394396E8	
ENSG00000003509.15_37231706_37248350_441	ENSG00000003509.15_37231706_37248350_441			441	70.50				1.0000	0.9990	27	59	59	59	30	29	30	29	30	29	1.98580928E9	1.06218394E9	1.98580928E9	1.06218394E9	1.98580928E9	1.06218394E9	
ENSG00000003756.16_50090435_50118456_815	ENSG00000003756.16_50090435_50118456_815			815	48.00				1.0000	0.9990	44	104	104	112	60	44	60	44	65	47	7.5556751E9	6.6335063E9	7.5556751E9	6.6335063E9	7.5556751E9	6.6335063E9	
ENSG00000003987.13_17413292_17299862_660	ENSG00000003987.13_17413292_17299862_660			660	54.70				1.0000	0.9990	31	55	55	66	35	20	35	20	41	25	1.18733402E9	9.9743802E8	1.18733402E9	9.9743802E8	1.18733402E9	9.9743802E8	
ENSG00000003989.17_17538825_17565146_697	ENSG00000003989.17_17538825_17565146_697			697	35.70				1.0000	0.9990	26	66	66	66	43	23	43	23	43	23	8.5876972E9	5.6481956E9	8.5876972E9	5.6481956E9	8.5876972E9	5.6481956E9	
ENSG00000004139.13_28372084_28396286_707	ENSG00000004139.13_28372084_28396286_707			707	67.90				1.0000	0.9990	46	176	176	176	96	80	96	80	96	80	8.827775E9	7.6427663E9	8.827775E9	7.6427663E9	8.827775E9	7.6427663E9	
ENSG00000004142.11_28357448_28348117_368	ENSG00000004142.11_28357448_28348117_368			368	94.60				1.0000	0.9990	38	89	89	89	48	41	48	41	48	41	4.8187663E9	4.9678889E9	4.8187663E9	4.9678889E9	4.8187663E9	4.9678889E9	
ENSG00000004399.12_129606105_129556312_1747	ENSG00000004399.12_129606105_129556312_1747			1747	35.00				1.0000	0.9990	46	71	71	77	37	34	37	34	39	38	2.45194928E8	1.17545344E9	2.45194928E8	1.17545344E9	1.17460608E8	1.43079578E9	
ENSG00000004455.16_33036828_33010829_232	ENSG00000004455.16_33036828_33010829_232			232	89.70				1.0000	0.9990	29	196	0	196	90	106	0	0	90	106	4.0715563E10	2.92428841E10	0.0	0.0	4.0715563E10	2.92428841E10	ENSG00000004455.16_33036828_33012118_232, ENSG00000004455.16_33036828_33013181_239
ENSG00000004478.7_2795140_2803258_459	ENSG00000004478.7_2795140_2803258_459			459	79.10				1.0000	0.9990	42	417	417	417	209	208	209	208	209	208	1.94531738E10	2.52699136E10	1.94531738E10	2.52699136E10	1.94531738E10	2.52699136E10	
ENSG00000004487.15_23019885_23083364_756	ENSG00000004487.15_23019885_23083364_756			756	64.80				1.0000	0.9990	44	187	187	187	101	86	101	86	101	86	5.738795E9	2.85846886E9	5.738795E9	2.85846886E9	5.738795E9	2.85846886E9	
ENSG00000004534.14_49962642_50077133_1123	ENSG00000004534.14_49962642_50077133_1123			1123	59.70				1.0000	0.9990	80	186	186	186	89	97	89	97	89	97	1.20520294E9	2.27520973E9	1.20520294E9	2.27520973E9	1.20520294E9	2.27520973E9	
ENSG00000004700.15_21499570_21470194_649	ENSG00000004700.15_21499570_21470194_649			649	79.50				1.0000	0.9990	47	254	254	254	122	132	122	132	122	132	5.0467579E9	6.1600456E9	5.0467579E9	6.1600456E9	5.0467579E9	6.1600456E9	
ENSG00000004777.18_35775659_35788429_1126	ENSG00000004777.18_35775659_35788429_1126			1126	33.70				1.0000	0.9990	35	59	59	61	37	22	37	22	39	22	1.00368525E9	1.17327962E9	1.00368525E9	1.17327962E9	1.00368525E9	1.17327962E9	
ENSG00000004779.9_23596290_23582284_156	ENSG00000004779.9_23596290_23582284_156			156	51.90				1.0000	0.9990	9	121	121	121	61	60	61	60	61	60	1.28941568E10	2.48414904E10	1.28941568E10	2.48414904E10	1.28941568E10	2.48414904E10	
ENSG00000004799.7_95596293_95585641_411	ENSG00000004799.7_95596293_95585641_411			411	35.50				1.0000	0.9990	9	14	14	14	9	5	9	5	9	5	2.00244416E9	5.7277818E8	2.00244416E9	5.7277818E8	2.00244416E9	5.7277818E8	
ENSG00000004848.7_25015737_25004670_562	ENSG00000004848.7_25015737_25004670_562			562	52.10				1.0000	0.9990	19	33	32	33	20	13	20	12	20	13	5.36272128E8	5.34793312E8	5.36272128E8	5.34793312E8	5.36272128E8	5.34793312E8	
ENSG00000004864.13_96321956_96121191_675	ENSG00000004864.13_96321956_96121191_675			675	71.60				1.0000	0.9990	52	342	273	342	194	148	154	119	194	148	3.06662769E10	1.14826557E10	1.91013663E10	1.878656E10	3.06662769E10	1.14826557E10	
ENSG00000004866.20_116953541_117222980_585	ENSG00000004866.20_116953541_117222980_585			585	51.50				1.0000	0.9990	29	45	5	45	28	17	2	3	28	17	3.9824E8	2.41979712E8	5.195224E7	0.0	3.9824E8	2.41979712E8	
ENSG00000004897.11_47189172_47120935_830	ENSG00000004897.11_47189172_47120935_830			830	40.20				1.0000	0.9990	26	67	67	67	33	34	33	34	33	34	2.0639968E8	1.57852134E9	2.0639968E8	1.57852134E9	2.0639968E8	1.57852134E9	
ENSG00000004961.14_11112139_11121810_242	ENSG00000004961.14_11112139_11121810_242			242	76.90				1.0000	0.9990	21	68	68	68	37	31	37	31	37	31	1.84363405E9	4.8283121E9	1.84363405E9	4.8283121E9	1.84363405E9	4.8283121E9	
ENSG00000004975.11_7234262_7225865_736	ENSG00000004975.11_7234262_7225865_736			736	42.50				1.0000	0.9990	28	58	51	58	30	28	28	23	30	28	6.3415437E8	9.1411322E8	4.76919808E8	8.5923584E8	6.3415437E8	9.1411322E8	
ENSG00000005001.9_2858104_2853093_317	ENSG00000005001.9_2858104_2853093_317			317	52.40				1.0000	0.9990	12	25	25	25	16	9	16	9	16	9	2.37894144E9	1.49732838E9	2.37894144E9	1.49732838E9	2.37894144E9	1.49732838E9	
ENSG00000005007.12_18832210_18866163_1129	ENSG00000005007.12_18832210_18866163_1129			1129	63.50				1.0000	0.9990	71	437	437	437	233	204	233	204	233	204	1.38532762E10	1.63383173E10	1.38532762E10	1.63383173E10	1.38532762E10	1.63383173E10	
ENSG00000005020.12_26864429_26670100_359	ENSG00000005020.12_26864429_26670100_359			359	33.70				1.0000	0.9990	14	27	27	27	15	12	15	12	15	12	1.55450896E8	3.29127744E8	1.55450896E8	3.29127744E8	1.55450896E8	3.29127744E8	
ENSG00000005022.5_119468516_119471058_298	ENSG00000005022.5_119468516_119471058_298			298	61.40				1.0000	0.9990	33	650	334	650	345	305	188	146	345	305	4.26270032E11	1.31506618E11	2.64294351E11	4.7380877E10	4.26270032E11	1.31506618E11	
ENSG00000005075.15_102478860_102473649_117	ENSG00000005075.15_102478860_102473649_117			117	57.30				1.0000	0.9990	5	18	18	18	9	9	9	9	9	9	2.04504909E9	2.74210253E9	2.04504909E9	2.74210253E9	2.04504909E9	2.74210253E9	
ENSG00000005100.12_5468760_5444205_674	ENSG00000005100.12_5468760_5444205_674			674	33.10				1.0000	0.9990	26	47	47	48	18	29	18	29	18	30	2.85954496E8	4.60746048E8	2.85954496E8	4.60746048E8	2.85954496E8	4.60746048E8	
ENSG00000005108.15_11831946_11375794_1657	ENSG00000005108.15_11831946_11375794_1657			1657	33.00				1.0000	0.9990	43	64	64	64	32	32	32	32	32	32	5.9659917E8	2.85526016E9	5.9659917E8	2.85526016E9	5.9659917E8	2.85526016E9	
ENSG00000005156.11_34983006_35003048_949	ENSG00000005156.11_34983006_35003048_949			949	74.40				1.0000	0.9990	71	2	2	197	1	1	1	1	97	100	0.0	2.05006128E8	0.0	2.05006128E8	2.9325015E9	3.53329869E9	
ENSG00000005156.11_34983006_35004506_1009	ENSG00000005156.11_34983006_35004506_1009			1009	76.40				1.0000	0.9990	75	206	11	206	105	101	9	2	105	101	2.9325015E9	3.53329869E9	1.02382477E9	2.32968272E8	2.9325015E9	3.53329869E9	
ENSG00000005175.9_47702840_47663505_665	ENSG00000005175.9_47702840_47663505_665			665	46.20				1.0000	0.9990	36	74	74	74	34	40	34	40	34	40	1.54385165E9	2.80103629E9	1.54385165E9	2.80103629E9	1.54385165E9	2.80103629E9	
ENSG00000005189.19_20807047_20849480_743	ENSG00000005189.19_20807047_20849480_743			743	42.90				1.0000	0.9990	23	40	40	40	27	13	27	13	27	13	2.3938152E8	1.00363456E8	2.3938152E8	1.00363456E8	2.3938152E8	1.00363456E8	
ENSG00000005194.14_57440928_57429170_312	ENSG00000005194.14_57440928_57429170_312			312	71.80				1.0000	0.9990	24	102	21	102	50	52	11	10	50	52	5.8032353E9	1.16105636E10	3.1480023E9	6.9758874E9	5.8032353E9	1.16105636E10	
ENSG00000005194.14_57440928_57429192_266	ENSG00000005194.14_57440928_57429192_266			266	70.70				1.0000	0.9990	17	2	2	83	0	2	0	2	39	44	0.0	0.0	0.0	0.0	4.691968E9	7.0521969E9	
ENSG00000005249.12_107044908_107159582_418	ENSG00000005249.12_107044908_107159582_418			418	61.20				1.0000	0.9990	23	39	39	98	25	14	25	14	56	42	1.48414387E9	1.51344282E9	1.48414387E9	1.51344282E9	5.570242E9	5.672257E9	
ENSG00000005339.14_3879916_3727718_2442	ENSG00000005339.14_3879916_3727718_2442			2442	33.70				1.0000	0.9990	79	169	120	169	101	68	79	41	101	68	2.51442509E9	1.64434355E9	1.92790554E9	4.02869248E8	2.51442509E9	1.64434355E9	
ENSG00000005448.16_74422154_74425701_334	ENSG00000005448.16_74422154_74425701_334			334	62.60				1.0000	0.9990	11	24	12	24	15	9	8	4	15	9	8.1521062E8	7.2289901E8	6.0900352E8	3.40277824E8	8.1521062E8	7.2289901E8	
ENSG00000005469.11_87349069_87359354_87	ENSG00000005469.11_87349069_87359354_87			87	73.60				1.0000	0.9990	7	7	7	11	3	4	3	4	5	6	1.443864E8	2.55677024E8	1.443864E8	2.55677024E8	1.443864E8	5.01628032E8	
ENSG00000005469.11_87349069_87398644_640	ENSG00000005469.11_87349069_87398644_640			640	46.10				1.0000	0.9990	29	53	49	53	24	29	22	27	24	29	5.956903E8	1.48148019E9	5.956903E8	1.48148019E9	5.956903E8	1.48148019E9	
ENSG00000005483.20_105041007_105113333_1840	ENSG00000005483.20_105041007_105113333_1840			1840	26.60				1.0000	0.9990	44	55	54	59	32	23	31	23	34	25	2.69120672E8	5.5701171E8	2.69120672E8	5.5701171E8	2.69120672E8	5.5701171E8	
ENSG00000005486.16_75879083_75888349_364	ENSG00000005486.16_75879083_75888349_364			364	30.50				1.0000	0.9990	11	27	27	27	14	13	14	13	14	13	1.41094618E9	2.99441638E9	1.41094618E9	2.99441638E9	1.41094618E9	2.99441638E9	
ENSG00000005700.14_82240474_82171425_1349	ENSG00000005700.14_82240474_82171425_1349			1349	47.00				1.0000	0.9990	67	119	119	119	64	55	64	55	64	55	6.4082852E9	3.6362195E10	6.4082852E9	3.6362195E10	6.4082852E9	3.6362195E10	
ENSG00000005810.17_77125423_77121338_81	ENSG00000005810.17_77125423_77121338_81			81	80.20				1.0000	0.9990	3	2	2	3	2	0	2	0	3	0	0.0	0.0	0.0	0.0	8.061888E7	0.0	
ENSG00000005810.17_77326661_77045378_4640	ENSG00000005810.17_77326661_77045378_4640			4640	49.10				1.0000	0.9990	204	329	328	329	189	140	188	140	189	140	1.03904448E9	8.6956614E8	1.03904448E9	8.6956614E8	1.03904448E9	8.6956614E8	
ENSG00000005812.10_77021860_77007145_428	ENSG00000005812.10_77021860_77007145_428			428	45.10				1.0000	0.9990	17	22	22	22	9	13	9	13	9	13	1.2967572E8	2.176568E8	1.2967572E8	2.176568E8	1.2967572E8	2.176568E8	
ENSG00000005844.17_30489114_30521665_824	ENSG00000005844.17_30489114_30521665_824			824	17.70				1.0000	0.9990	9	17	17	17	10	7	10	7	10	7	2.81943296E8	9.7663514E8	2.81943296E8	9.7663514E8	2.81943296E8	9.7663514E8	
ENSG00000005882.11_50095532_50110097_375	ENSG00000005882.11_50095532_50110097_375			375	59.70				1.0000	0.9990	17	55	55	55	28	27	28	27	28	27	1.89619763E9	1.62480602E9	1.89619763E9	1.62480602E9	1.89619763E9	1.62480602E9	
ENSG00000005884.17_50056482_50088335_1037	ENSG00000005884.17_50056482_50088335_1037			1037	34.60				1.0000	0.9990	40	134	134	134	49	85	49	85	49	85	2.22202778E10	1.91424901E10	2.22202778E10	1.91424901E10	2.22202778E10	1.91424901E10	
ENSG00000005889.15_24172743_24211376_805	ENSG00000005889.15_24172743_24211376_805			805	35.90				1.0000	0.9990	31	67	9	67	35	32	5	4	35	32	5.659616E8	3.62867008E8	0.0	1.34460992E8	5.659616E8	3.62867008E8	
ENSG00000005893.15_120469169_120428484_411	ENSG00000005893.15_120469169_120428484_411			411	37.10				1.0000	0.9990	9	62	0	62	38	24	0	0	38	24	7.6020541E9	1.44303739E10	0.0	0.0	7.6020541E9	1.44303739E10	ENSG00000005893.15_120469169_120431323_410, ENSG00000005893.15_120469169_120439154_410
ENSG00000006007.11_19521964_19503470_331	ENSG00000006007.11_19521964_19503470_331			331	41.40				1.0000	0.9990	14	23	23	23	12	11	12	11	12	11	1.97292442E9	4.52244224E8	1.97292442E9	4.52244224E8	1.97292442E9	4.52244224E8	
ENSG00000006015.17_18588802_18592180_201	ENSG00000006015.17_18588802_18592180_201			201	42.80				1.0000	0.9990	9	14	14	14	6	8	6	8	6	8	1.69164144E8	3.09709901E9	1.69164144E8	3.09709901E9	1.69164144E8	3.09709901E9	
ENSG00000006025.11_47818544_47808291_695	ENSG00000006025.11_47818544_47808291_695			695	33.70				1.0000	0.9990	18	27	27	27	14	13	14	13	14	13	1.8784384E8	9.6804557E8	1.8784384E8	9.6804557E8	1.8784384E8	9.6804557E8	
ENSG00000006042.11_32931529_32940993_226	ENSG00000006042.11_32931529_32940993_226			226	41.60				1.0000	0.9990	11	27	27	27	17	10	17	10	17	10	5.391351E8	2.48910464E8	5.391351E8	2.48910464E8	5.391351E8	2.48910464E8	
ENSG00000006062.14_45287306_45264636_819	ENSG00000006062.14_45287306_45264636_819			819	33.10				1.0000	0.9990	25	39	39	39	22	17	22	17	22	17	3.18044512E8	3.38696E8	3.18044512E8	3.38696E8	3.18044512E8	3.38696E8	
ENSG00000006071.12_17476776_17392991_1581	ENSG00000006071.12_17476776_17392991_1581			1581	34.00				1.0000	0.9990	50	91	87	91	51	40	50	37	51	40	9.2503872E8	1.2852471E9	7.7709158E8	8.0843789E8	9.2503872E8	1.2852471E9	
ENSG00000006118.14_60924646_60936907_1019	ENSG00000006118.14_60924646_60936907_1019			1019	30.10				1.0000	0.9990	30	60	60	60	39	21	39	21	39	21	2.5029335E9	5.7418214E8	2.5029335E9	5.7418214E8	2.5029335E9	5.7418214E8	
ENSG00000006125.17_35594031_35723699_951	ENSG00000006125.17_35594031_35723699_951			951	63.00				1.0000	0.9990	58	523	323	523	285	238	185	138	285	238	2.11669074E10	2.21565051E10	1.65012521E10	2.03151831E10	2.11669074E10	2.21565051E10	
ENSG00000006128.11_97732613_97739920_129	ENSG00000006128.11_97732613_97739920_129			129	32.60				1.0000	0.9990	7	12	12	12	6	6	6	6	6	6	8.0428904E7	1.51521168E8	8.0428904E7	1.51521168E8	8.0428904E7	1.51521168E8	
ENSG00000006194.9_3283819_3290558_683	ENSG00000006194.9_3283819_3290558_683			683	28.40				1.0000	0.9990	20	44	44	45	24	20	24	20	25	20	8.5531E7	6.5174214E8	8.5531E7	6.5174214E8	8.5531E7	6.5174214E8	
ENSG00000006210.6_57372569_57383032_397	ENSG00000006210.6_57372569_57383032_397			397	25.70				1.0000	0.9990	10	24	24	24	14	10	14	10	14	10	9.9574392E7	3.16169792E8	9.9574392E7	3.16169792E8	9.9574392E7	3.16169792E8	
ENSG00000006282.20_50548338_50555662_742	ENSG00000006282.20_50548338_50555662_742			742	58.40				1.0000	0.9990	37	83	83	83	46	37	46	37	46	37	1.47038093E9	1.56310694E9	1.47038093E9	1.56310694E9	1.47038093E9	1.56310694E9	
ENSG00000006283.17_50572642_50626751_1983	ENSG00000006283.17_50572642_50626751_1983			1983	28.90				1.0000	0.9990	47	62	62	65	39	23	39	23	40	25	3.31549888E8	1.70193472E9	3.31549888E8	1.70193472E9	3.31549888E8	1.70193472E9	
ENSG00000006327.13_3020398_3021826_129	ENSG00000006327.13_3020398_3021826_129			129	17.80				1.0000	0.9990	3	3	3	3	2	1	2	1	2	1	0.0	0.0	0.0	0.0	0.0	0.0	
ENSG00000006432.15_70809171_70730380_1104	ENSG00000006432.15_70809171_70730380_1104			1104	34.40				1.0000	0.9990	23	35	35	38	19	16	19	16	21	17	5.0649024E8	1.66988336E8	5.0649024E8	1.66988336E8	6.1456851E8	1.66988336E8	
ENSG00000006451.7_39686668_39706245_206	ENSG00000006451.7_39686668_39706245_206			206	74.80				1.0000	0.9990	13	115	48	115	51	64	22	26	51	64	1.36814356E10	1.83981527E10	7.1923589E9	1.06215752E10	1.36814356E10	1.83981527E10	
ENSG00000006453.13_98400852_98293521_511	ENSG00000006453.13_98400852_98293521_511			511	79.80				1.0000	0.9990	44	84	84	84	33	51	33	51	33	51	1.72465779E9	6.798271E9	1.72465779E9	6.798271E9	1.72465779E9	6.798271E9	
ENSG00000006459.10_140176937_140091094_941	ENSG00000006459.10_140176937_140091094_941			941	40.60				1.0000	0.9990	40	59	59	62	31	28	31	28	33	29	6.6049331E8	0.0	6.6049331E8	0.0	8.7188301E8	0.0	
ENSG00000006468.13_13989019_13895866_466	ENSG00000006468.13_13989019_13895866_466			466	51.70				1.0000	0.9990	17	27	27	27	14	13	14	13	14	13	0.0	3.52703808E8	0.0	3.52703808E8	0.0	3.52703808E8	
ENSG00000006530.15_141555467_141652924_422	ENSG00000006530.15_141555467_141652924_422			422	78.70				1.0000	0.9990	24	72	72	72	35	37	35	37	35	37	2.68796621E9	2.07538458E9	2.68796621E9	2.07538458E9	2.68796621E9	2.07538458E9	
ENSG00000006555.10_54801079_54781243_541	ENSG00000006555.10_54801079_54781243_541			541	35.90				1.0000	0.9990	16	33	15	33	18	15	9	6	18	15	9.1376064E8	3.25384576E8	8.7503059E8	0.0	9.1376064E8	3.25384576E8	
ENSG00000006555.10_54801079_54785546_344	ENSG00000006555.10_54801079_54785546_344			344	43.90				1.0000	0.9990	11	5	5	23	4	1	4	1	13	10	1.24351272E8	9.2121272E7	1.24351272E8	9.2121272E7	2.00207104E8	4.17505824E8	
ENSG00000006576.16_77840256_77922832_352	ENSG00000006576.16_77840256_77922832_352			352	20.20				1.0000	0.9990	7	9	9	9	6	3	6	3	6	3	5.19515712E8	0.0	5.19515712E8	0.0	5.19515712E8	0.0	
ENSG00000006611.15_17544307_17494332_899	ENSG00000006611.15_17544307_17494332_899			899	60.20				1.0000	0.9990	62	201	12	201	114	87	7	5	114	87	3.8820119E9	3.12387712E9	0.0	5.08978112E8	3.8820119E9	3.12387712E9	
ENSG00000006611.15_17544307_17494364_552	ENSG00000006611.15_17544307_17494364_552			552	77.20				1.0000	0.9990	52	7	7	196	4	3	4	3	111	85	2.5146344E8	4.16317632E8	2.5146344E8	4.16317632E8	3.8820119E9	3.12387712E9	
ENSG00000006625.17_30504709_30497092_188	ENSG00000006625.17_30504709_30497092_188			188	67.60				1.0000	0.9990	19	66	1	66	31	35	0	1	31	35	1.58826353E10	6.8212019E9	0.0	0.0	1.58826353E10	6.8212019E9	
ENSG00000006625.17_30504709_30497178_114	ENSG00000006625.17_30504709_30497178_114			114	36.00				1.0000	0.9990	5	3	3	11	1	2	1	2	5	6	0.0	2.6630006E7	0.0	2.6630006E7	5.8970342E9	6.459926E9	
