Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	sBC_nORF-1 Spectral Count	sBC_nORF-2 Spectral Count	sBC_nORF-1 Unique Spectral Count	sBC_nORF-2 Unique Spectral Count	sBC_nORF-1 Total Spectral Count	sBC_nORF-2 Total Spectral Count	sBC_nORF-1 Intensity	sBC_nORF-2 Intensity	sBC_nORF-1 Unique Intensity	sBC_nORF-2 Unique Intensity	sBC_nORF-1 Total Intensity	sBC_nORF-2 Total Intensity	Indistinguishable Proteins
ENSG00000001629.9_377_3643	ENSG00000001629.9_377_3643			1089	42.60				1.0000	0.9990	44	77	77	77	48	29	48	29	48	29	7.8462586E8	2.42947482E9	7.8462586E8	2.42947482E9	7.8462586E8	2.42947482E9	
ENSG00000001630.15_185_1693	ENSG00000001630.15_185_1693			503	61.40				1.0000	0.9990	26	99	99	99	48	51	48	51	48	51	6.9097677E9	5.3287112E9	6.9097677E9	5.3287112E9	6.9097677E9	5.3287112E9	
ENSG00000002330.13_272_775	ENSG00000002330.13_272_775			168	91.70				1.0000	0.9990	16	34	34	34	20	14	20	14	20	14	1.15920307E9	6.5629472E8	1.15920307E9	6.5629472E8	1.15920307E9	6.5629472E8	
ENSG00000002549.12_275_1831	ENSG00000002549.12_275_1831			519	79.40				1.0000	0.9990	48	315	315	315	152	163	152	163	152	163	1.55229235E10	1.55409879E10	1.55229235E10	1.55409879E10	1.55229235E10	1.55409879E10	
ENSG00000002726.20_150_2351	ENSG00000002726.20_150_2351			734	55.00				1.0000	0.9990	34	56	56	56	35	21	35	21	35	21	1.959072E9	1.79905357E9	1.959072E9	1.79905357E9	1.959072E9	1.79905357E9	
ENSG00000002746.14_568_5040	ENSG00000002746.14_568_5040			1491	28.80				1.0000	0.9990	34	61	61	73	30	31	30	31	38	35	9.5510323E8	8.7192384E8	9.5510323E8	8.7192384E8	1.09165645E9	9.6656397E8	
ENSG00000002822.15_310_2439	ENSG00000002822.15_310_2439			710	68.30				1.0000	0.9990	56	113	113	113	66	47	66	47	66	47	8.4685184E8	1.60881805E9	8.4685184E8	1.60881805E9	8.4685184E8	1.60881805E9	
ENSG00000002834.17_332_1114	ENSG00000002834.17_332_1114			261	78.90				1.0000	0.9990	35	254	252	254	114	140	113	139	114	140	1.5379241E10	3.09626655E10	1.5379241E10	3.09626655E10	1.5379241E10	3.09626655E10	
ENSG00000002933.7_531_1286	ENSG00000002933.7_531_1286			252	26.20				1.0000	0.9990	8	9	9	9	5	4	5	4	5	4	1.96915936E8	1.56402256E8	1.96915936E8	1.56402256E8	1.96915936E8	1.56402256E8	
ENSG00000003056.7_470_1300	ENSG00000003056.7_470_1300			277	52.70				1.0000	0.9990	19	102	102	102	59	43	59	43	59	43	2.45057075E9	1.74080184E10	2.45057075E9	1.74080184E10	2.45057075E9	1.74080184E10	
ENSG00000003096.14_383_2299	ENSG00000003096.14_383_2299			639	56.20				1.0000	0.9990	34	55	30	55	28	27	15	15	28	27	4.82549056E8	4.9651968E8	5.8525594E8	3.16564736E8	4.82549056E8	4.9651968E8	
ENSG00000003249.13_133_606	ENSG00000003249.13_133_606			158	59.50				1.0000	0.9990	6	23	23	23	14	9	14	9	14	9	2.0444373E10	3.30078188E10	2.0444373E10	3.30078188E10	2.0444373E10	3.30078188E10	
ENSG00000003509.15_41_1363	ENSG00000003509.15_41_1363			441	68.30				1.0000	0.9990	27	60	60	60	30	30	30	30	30	30	1.91172122E9	1.01380435E9	1.91172122E9	1.01380435E9	1.91172122E9	1.01380435E9	
ENSG00000003756.16_176_2620	ENSG00000003756.16_176_2620			815	50.20				1.0000	0.9990	47	110	110	118	62	48	62	48	67	51	6.2481659E9	7.5722783E9	6.2481659E9	7.5722783E9	6.2481659E9	7.5722783E9	
ENSG00000003989.17_238_2208	ENSG00000003989.17_238_2208			657	38.40				1.0000	0.9990	21	58	13	58	35	23	9	4	35	23	8.4073247E9	5.541141E9	1.05256448E9	7.3021414E8	8.4073247E9	5.541141E9	
ENSG00000004059.10_155_694	ENSG00000004059.10_155_694			180	77.20				1.0000	0.9990	20	101	101	310	51	50	51	50	189	121	3.41253038E10	3.0690132E10	3.41253038E10	3.0690132E10	4.7533158E10	3.7684818E10	
ENSG00000004139.13_372_2543	ENSG00000004139.13_372_2543			724	70.60				1.0000	0.9990	52	188	188	188	106	82	106	82	106	82	8.8439849E9	7.4927401E9	8.8439849E9	7.4927401E9	8.8439849E9	7.4927401E9	
ENSG00000004142.11_75_1178	ENSG00000004142.11_75_1178			368	95.90				1.0000	0.9990	38	96	96	96	54	42	54	42	54	42	4.791978E9	4.6117535E9	4.791978E9	4.6117535E9	4.791978E9	4.6117535E9	
ENSG00000004399.12_714_5954	ENSG00000004399.12_714_5954			1747	39.30				1.0000	0.9990	54	77	77	83	38	39	38	39	40	43	3.78705312E8	5.32767328E8	3.78705312E8	5.32767328E8	3.48078016E8	7.9042547E8	
ENSG00000004478.7_188_1564	ENSG00000004478.7_188_1564			459	83.00				1.0000	0.9990	45	424	424	424	213	211	213	211	213	211	2.1082882E10	2.33534894E10	2.1082882E10	2.33534894E10	2.1082882E10	2.33534894E10	
ENSG00000004534.14_260_3628	ENSG00000004534.14_260_3628			1123	61.10				1.0000	0.9990	89	192	192	192	93	99	93	99	93	99	1.17765555E9	2.21603456E9	1.17765555E9	2.21603456E9	1.17765555E9	2.21603456E9	
ENSG00000004700.15_231_2177	ENSG00000004700.15_231_2177			649	80.60				1.0000	0.9990	45	261	261	261	125	136	125	136	125	136	6.3276462E9	5.8680381E9	6.3276462E9	5.8680381E9	6.3276462E9	5.8680381E9	
ENSG00000004777.18_542_3823	ENSG00000004777.18_542_3823			1094	34.90				1.0000	0.9990	35	59	59	61	36	23	36	23	38	23	1.0343481E9	4.21934234E9	1.0343481E9	4.21934234E9	1.0343481E9	4.21934234E9	
ENSG00000004779.9_67_534	ENSG00000004779.9_67_534			156	71.20				1.0000	0.9990	11	127	127	127	65	62	65	62	65	62	1.20306258E10	2.31648133E10	1.20306258E10	2.31648133E10	1.20306258E10	2.31648133E10	
ENSG00000004799.7_199_1431	ENSG00000004799.7_199_1431			411	38.20				1.0000	0.9990	10	14	14	14	7	7	7	7	7	7	1.95722534E9	4.11848864E8	1.95722534E9	4.11848864E8	1.95722534E9	4.11848864E8	
ENSG00000004848.7_212_1897	ENSG00000004848.7_212_1897			562	52.10				1.0000	0.9990	19	32	32	33	20	12	20	12	20	13	5.4686656E8	5.4700026E8	5.4686656E8	5.4700026E8	5.4686656E8	5.4700026E8	
ENSG00000004864.13_138_2162	ENSG00000004864.13_138_2162			675	71.40				1.0000	0.9990	54	341	268	341	193	148	150	118	193	148	2.84280668E10	1.05491722E10	1.83500472E10	1.83109755E10	2.84280668E10	1.05491722E10	
ENSG00000004866.20_163_1893	ENSG00000004866.20_163_1893			577	53.20				1.0000	0.9990	30	52	0	52	32	20	0	0	32	20	3.96664512E8	2.6290032E8	0.0	0.0	3.96664512E8	2.6290032E8	ENSG00000004866.20_215_1969
ENSG00000004897.11_95_2566	ENSG00000004897.11_95_2566			824	41.50				1.0000	0.9990	26	64	64	64	32	32	32	32	32	32	4.72807872E8	1.32803174E9	4.72807872E8	1.32803174E9	4.72807872E8	1.32803174E9	
ENSG00000004961.14_290_1000	ENSG00000004961.14_290_1000			237	76.40				1.0000	0.9990	20	70	70	70	38	32	38	32	38	32	1.7687241E9	4.7548667E9	1.7687241E9	4.7548667E9	1.7687241E9	4.7548667E9	
ENSG00000005001.9_67_1017	ENSG00000005001.9_67_1017			317	68.80				1.0000	0.9990	13	27	27	27	18	9	18	9	18	9	1.47600397E9	1.54112896E9	1.47600397E9	1.54112896E9	1.47600397E9	1.54112896E9	
ENSG00000005007.12_210_3596	ENSG00000005007.12_210_3596			1129	65.40				1.0000	0.9990	73	1	1	442	1	0	1	0	236	206	0.0	0.0	0.0	0.0	1.31619953E10	1.60402125E10	
ENSG00000005007.12_273_3626	ENSG00000005007.12_273_3626			1118	67.10				1.0000	0.9990	75	446	5	446	238	208	3	2	238	208	1.31619953E10	1.60402125E10	1.40738064E8	0.0	1.31619953E10	1.60402125E10	
ENSG00000005020.12_315_1391	ENSG00000005020.12_315_1391			359	29.00				1.0000	0.9990	13	30	30	30	15	15	15	15	15	15	1.54609264E8	3.51068352E8	1.54609264E8	3.51068352E8	1.54609264E8	3.51068352E8	
ENSG00000005022.5_117_1010	ENSG00000005022.5_117_1010			298	62.80				1.0000	0.9990	34	654	338	654	348	306	191	147	348	306	4.19160785E11	1.28915923E11	2.5873852E11	4.7430017E10	4.19160785E11	1.28915923E11	
ENSG00000005059.15_134_1141	ENSG00000005059.15_134_1141			336	49.70				1.0000	0.9990	15	24	24	24	14	10	14	10	14	10	2.71771072E8	7.4856576E8	2.71771072E8	7.4856576E8	2.71771072E8	7.4856576E8	
ENSG00000005108.15_253_5223	ENSG00000005108.15_253_5223			1657	37.60				1.0000	0.9990	49	80	80	80	45	35	45	35	45	35	1.33954598E9	2.87391437E9	1.33954598E9	2.87391437E9	1.33954598E9	2.87391437E9	
ENSG00000005156.11_134_3160	ENSG00000005156.11_134_3160			1009	77.60				1.0000	0.9990	81	222	222	222	115	107	115	107	115	107	2.84003251E9	3.48390656E9	2.84003251E9	3.48390656E9	2.84003251E9	3.48390656E9	
ENSG00000005189.19_303_2531	ENSG00000005189.19_303_2531			743	47.20				1.0000	0.9990	26	43	43	43	30	13	30	13	30	13	2.20859888E8	9.9743928E7	2.20859888E8	9.9743928E7	2.20859888E8	9.9743928E7	
ENSG00000005194.14_243_1178	ENSG00000005194.14_243_1178			312	71.80				1.0000	0.9990	24	104	104	104	52	52	52	52	52	52	5.8086298E9	1.14548593E10	5.8086298E9	1.14548593E10	5.8086298E9	1.14548593E10	
ENSG00000005249.12_260_1513	ENSG00000005249.12_260_1513			418	61.20				1.0000	0.9990	24	42	42	100	24	18	24	18	54	46	1.33246554E9	1.5874633E9	1.33246554E9	1.5874633E9	5.3337487E9	5.694806E9	
ENSG00000005339.14_811_8136	ENSG00000005339.14_811_8136			2442	36.50				1.0000	0.9990	88	187	136	187	108	79	85	51	108	79	6.7792691E9	3.35282534E9	6.5376056E9	2.95137075E9	6.7792691E9	3.35282534E9	
ENSG00000005436.13_135_2477	ENSG00000005436.13_135_2477			781	58.30				1.0000	0.9990	44	86	86	86	45	41	45	41	45	41	2.96636704E8	4.24748698E9	2.96636704E8	4.24748698E9	2.96636704E8	4.24748698E9	
ENSG00000005448.16_89_1090	ENSG00000005448.16_89_1090			334	54.80				1.0000	0.9990	10	23	23	23	14	9	14	9	14	9	8.3298618E8	6.900311E8	8.3298618E8	6.900311E8	8.3298618E8	6.900311E8	
ENSG00000005469.11_186_2021	ENSG00000005469.11_186_2021			612	57.80				1.0000	0.9990	40	68	55	68	32	36	26	29	32	36	1.85057792E9	8.9271136E8	8.1290477E8	1.29653018E9	1.85057792E9	8.9271136E8	
ENSG00000005471.15_245_3772	ENSG00000005471.15_245_3772			1176	22.30				1.0000	0.9990	31	60	60	64	34	26	34	26	37	27	1.88808E9	1.65505421E9	1.88808E9	1.65505421E9	1.88808E9	1.65505421E9	
ENSG00000005483.20_600_6119	ENSG00000005483.20_600_6119			1840	29.20				1.0000	0.9990	48	58	57	63	36	22	35	22	38	25	4.5137856E8	2.31746752E8	4.5137856E8	2.31746752E8	4.5137856E8	2.31746752E8	
ENSG00000005486.16_136_1227	ENSG00000005486.16_136_1227			364	30.50				1.0000	0.9990	11	28	28	28	15	13	15	13	15	13	1.36450816E9	2.9431017E9	1.36450816E9	2.9431017E9	1.36450816E9	2.9431017E9	
ENSG00000005700.14_563_4609	ENSG00000005700.14_563_4609			1349	52.60				1.0000	0.9990	73	135	135	135	76	59	76	59	76	59	6.6233656E9	3.4738541E10	6.6233656E9	3.4738541E10	6.6233656E9	3.4738541E10	
ENSG00000005801.16_175_2004	ENSG00000005801.16_175_2004			610	34.10				1.0000	0.9990	17	16	1	20	11	5	0	1	15	5	2.38519744E8	2.20285808E8	0.0	6.0014604E7	6.437079E8	2.20285808E8	
ENSG00000005810.17_94_14013	ENSG00000005810.17_94_14013			4640	49.60				1.0000	0.9990	207	348	348	348	192	156	192	156	192	156	2.1438416E8	3.58948506E9	2.1438416E8	3.58948506E9	2.1438416E8	3.58948506E9	
ENSG00000005812.10_326_1609	ENSG00000005812.10_326_1609			428	46.50				1.0000	0.9990	18	25	25	25	11	14	11	14	11	14	2.13405248E8	5.3039328E8	2.13405248E8	5.3039328E8	2.13405248E8	5.3039328E8	
ENSG00000005882.11_258_1382	ENSG00000005882.11_258_1382			375	62.70				1.0000	0.9990	19	58	57	58	30	28	29	28	30	28	1.76503757E9	1.63723597E9	1.76503757E9	1.63723597E9	1.76503757E9	1.63723597E9	
ENSG00000005884.17_373_3483	ENSG00000005884.17_373_3483			1037	39.40				1.0000	0.9990	41	142	142	142	51	91	51	91	51	91	2.21941617E10	2.03672637E10	2.21941617E10	2.03672637E10	2.21941617E10	2.03672637E10	
ENSG00000005893.15_138_1367	ENSG00000005893.15_138_1367			410	37.10				1.0000	0.9990	9	62	62	62	38	24	38	24	38	24	7.6299663E9	1.44019282E10	7.6299663E9	1.44019282E10	7.6299663E9	1.44019282E10	
ENSG00000006015.17_293_931	ENSG00000006015.17_293_931			213	39.40				1.0000	0.9990	10	16	8	16	6	10	3	5	6	10	0.0	4.99687392E8	0.0	1.46094704E8	0.0	4.99687392E8	
ENSG00000006015.17_78_680	ENSG00000006015.17_78_680			201	46.30				1.0000	0.9990	8	3	3	11	2	1	2	1	5	6	3.3209524E7	1.36778256E8	3.3209524E7	1.36778256E8	0.0	4.97975168E8	
ENSG00000006025.11_634_2718	ENSG00000006025.11_634_2718			695	39.60				1.0000	0.9990	24	35	35	35	17	18	17	18	17	18	1.93137072E8	9.6420595E8	1.93137072E8	9.6420595E8	1.93137072E8	9.6420595E8	
ENSG00000006042.11_383_1060	ENSG00000006042.11_383_1060			226	41.60				1.0000	0.9990	10	27	27	27	17	10	17	10	17	10	5.24550048E8	2.35354816E8	5.24550048E8	2.35354816E8	5.24550048E8	2.35354816E8	
ENSG00000006071.12_70_4812	ENSG00000006071.12_70_4812			1581	33.00				1.0000	0.9990	52	97	0	97	54	43	0	0	54	43	8.675927E8	1.29419034E9	0.0	0.0	8.675927E8	1.29419034E9	ENSG00000006071.12_70_4815
ENSG00000006128.11_122_463	ENSG00000006128.11_122_463			114	48.20				1.0000	0.9990	6	12	3	12	5	7	2	1	5	7	7.9416872E7	1.53307296E8	0.0	0.0	7.9416872E7	1.53307296E8	
ENSG00000006194.9_310_987	ENSG00000006194.9_310_987			226	45.10				1.0000	0.9990	10	10	10	16	4	6	4	6	6	10	0.0	1.0291404E8	0.0	1.0291404E8	0.0	1.0291404E8	
ENSG00000006194.9_877_2925	ENSG00000006194.9_877_2925			683	28.40				1.0000	0.9990	18	39	33	40	20	19	18	15	21	19	8.5502504E7	6.5845728E8	8.5502504E7	6.5845728E8	8.5502504E7	6.5845728E8	
ENSG00000006210.6_112_1302	ENSG00000006210.6_112_1302			397	22.40				1.0000	0.9990	12	27	27	27	15	12	15	12	15	12	1.0074856E8	2.14015232E8	1.0074856E8	2.14015232E8	1.0074856E8	2.14015232E8	
ENSG00000006451.7_381_998	ENSG00000006451.7_381_998			206	74.80				1.0000	0.9990	13	116	48	116	51	65	22	26	51	65	1.33636936E10	1.83753769E10	7.2316303E9	1.03277056E10	1.33636936E10	1.83753769E10	
ENSG00000006453.13_217_1749	ENSG00000006453.13_217_1749			511	81.00				1.0000	0.9990	47	88	88	88	35	53	35	53	35	53	1.66496115E9	6.6936591E9	1.66496115E9	6.6936591E9	1.66496115E9	6.6936591E9	
ENSG00000006459.10_99_2921	ENSG00000006459.10_99_2921			941	47.30				1.0000	0.9990	48	68	68	72	35	33	35	33	37	35	4.91301216E8	2.5018464E8	4.91301216E8	2.5018464E8	5.4890714E8	2.5018464E8	
ENSG00000006530.15_261_1526	ENSG00000006530.15_261_1526			422	68.00				1.0000	0.9990	24	73	73	73	36	37	36	37	36	37	2.48302285E9	1.96542822E9	2.48302285E9	1.96542822E9	2.48302285E9	1.96542822E9	
ENSG00000006555.10_105_1811	ENSG00000006555.10_105_1811			569	38.70				1.0000	0.9990	19	36	36	36	17	19	17	19	17	19	5.3090673E9	3.91070976E8	5.3090673E9	3.91070976E8	5.3090673E9	3.91070976E8	
ENSG00000006576.16_203_2443	ENSG00000006576.16_203_2443			747	29.90				1.0000	0.9990	22	50	48	50	30	20	29	19	30	20	8.8985421E8	0.0	8.8985421E8	0.0	8.8985421E8	0.0	
ENSG00000006607.13_139_1446	ENSG00000006607.13_139_1446			436	19.50				1.0000	0.9990	9	10	10	17	6	4	6	4	11	6	4.6616832E8	4.55741056E8	4.6616832E8	4.55741056E8	8.5779546E8	5.5858406E8	
ENSG00000006607.13_216_3332	ENSG00000006607.13_216_3332			1039	53.40				1.0000	0.9990	50	92	85	96	44	48	39	46	46	50	1.42841037E9	2.37178266E9	1.42841037E9	2.37178266E9	1.42841037E9	2.37178266E9	
ENSG00000006611.15_110_1765	ENSG00000006611.15_110_1765			552	74.10				1.0000	0.9990	49	193	193	193	109	84	109	84	109	84	3.66301056E9	2.96408934E9	3.66301056E9	2.96408934E9	3.66301056E9	2.96408934E9	
ENSG00000006625.17_136_699	ENSG00000006625.17_136_699			188	67.60				1.0000	0.9990	20	68	68	68	30	38	30	38	30	38	1.59639521E10	6.7621565E9	1.59639521E10	6.7621565E9	1.59639521E10	6.7621565E9	
ENSG00000006652.13_471_1823	ENSG00000006652.13_471_1823			451	33.50				1.0000	0.9990	16	45	45	45	32	13	32	13	32	13	9.590999E9	5.1944448E9	9.590999E9	5.1944448E9	9.590999E9	5.1944448E9	
ENSG00000006695.10_78_1406	ENSG00000006695.10_78_1406			443	25.10				1.0000	0.9990	11	15	15	15	8	7	8	7	8	7	1.22024432E8	3.21804352E8	1.22024432E8	3.21804352E8	1.22024432E8	3.21804352E8	
ENSG00000006712.14_332_1924	ENSG00000006712.14_332_1924			531	73.60				1.0000	0.9990	42	117	117	117	62	55	62	55	62	55	3.04648269E9	8.078124E9	3.04648269E9	8.078124E9	3.04648269E9	8.078124E9	
ENSG00000006740.16_322_2736	ENSG00000006740.16_322_2736			805	36.90				1.0000	0.9990	35	55	55	59	24	31	24	31	26	33	4.496728E8	2.65519078E9	4.496728E8	2.65519078E9	4.496728E8	2.65519078E9	
ENSG00000006747.14_102_2246	ENSG00000006747.14_102_2246			715	48.00				1.0000	0.9990	33	75	75	75	39	36	39	36	39	36	9.3894496E8	2.19822029E9	9.3894496E8	2.19822029E9	9.3894496E8	2.19822029E9	
ENSG00000006757.11_172_930	ENSG00000006757.11_172_930			253	58.10				1.0000	0.9990	13	36	36	36	16	20	16	20	16	20	7.0931443E8	7.2770541E8	7.0931443E8	7.2770541E8	7.0931443E8	7.2770541E8	
ENSG00000006831.9_252_1409	ENSG00000006831.9_252_1409			386	15.30				1.0000	0.9990	6	11	11	11	9	2	9	2	9	2	8.0903955E8	4.43398208E8	8.0903955E8	4.43398208E8	8.0903955E8	4.43398208E8	
ENSG00000007047.14_332_2587	ENSG00000007047.14_332_2587			752	63.20				1.0000	0.9990	48	88	88	99	53	35	53	35	57	42	8.0758483E8	4.802304E9	8.0758483E8	4.802304E9	8.0758483E8	4.802304E9	
ENSG00000007080.10_45_713	ENSG00000007080.10_45_713			223	74.00				1.0000	0.9990	25	79	79	79	43	36	43	36	43	36	3.32017485E9	2.24263398E9	3.32017485E9	2.24263398E9	3.32017485E9	2.24263398E9	
ENSG00000007237.18_690_1559	ENSG00000007237.18_690_1559			290	66.20				1.0000	0.9990	22	34	34	34	20	14	20	14	20	14	1.04568813E9	3.99043968E8	1.04568813E9	3.99043968E8	1.04568813E9	3.99043968E8	
ENSG00000007255.10_20_538	ENSG00000007255.10_20_538			173	46.20				1.0000	0.9990	6	10	10	10	4	6	4	6	4	6	1.40599984E8	3.05093888E8	1.40599984E8	3.05093888E8	1.40599984E8	3.05093888E8	
ENSG00000007372.21_880_2145	ENSG00000007372.21_880_2145			422	40.50				1.0000	0.9990	20	45	45	45	24	21	24	21	24	21	1.42626957E9	2.12161434E9	1.42626957E9	2.12161434E9	1.42626957E9	2.12161434E9	
ENSG00000007384.15_297_2708	ENSG00000007384.15_297_2708			804	31.80				1.0000	0.9990	29	48	48	48	31	17	31	17	31	17	2.71560448E9	2.32596368E8	2.71560448E9	2.32596368E8	2.71560448E9	2.32596368E8	
ENSG00000007392.16_154_1224	ENSG00000007392.16_154_1224			357	56.90				1.0000	0.9990	29	80	80	114	42	38	42	38	61	53	2.97850445E9	1.35614515E9	2.97850445E9	1.35614515E9	5.9759283E9	5.6040366E9	
ENSG00000007402.11_1_3429	ENSG00000007402.11_1_3429			1143	45.80				1.0000	0.9990	60	106	0	114	58	48	0	0	63	51	8.3767726E9	1.79814131E9	0.0	0.0	1.05052334E10	1.98651763E9	ENSG00000007402.11_6_3437
ENSG00000007516.13_160_3615	ENSG00000007516.13_160_3615			1152	26.20				1.0000	0.9990	30	48	48	48	27	21	27	21	27	21	1.45433498E9	7.1374579E8	1.45433498E9	7.1374579E8	1.45433498E9	7.1374579E8	
ENSG00000007520.3_108_1043	ENSG00000007520.3_108_1043			312	46.50				1.0000	0.9990	14	22	22	22	11	11	11	11	11	11	3.07070528E8	6.1681421E8	3.07070528E8	6.1681421E8	3.07070528E8	6.1681421E8	
ENSG00000007541.16_131_1318	ENSG00000007541.16_131_1318			396	62.10				1.0000	0.9990	14	20	20	20	11	9	11	9	11	9	3.67752256E8	4.51843616E8	3.67752256E8	4.51843616E8	3.67752256E8	4.51843616E8	
ENSG00000007545.15_100_3906	ENSG00000007545.15_100_3906			1269	38.80				1.0000	0.9990	46	81	81	81	45	36	45	36	45	36	0.0	1.21614899E9	0.0	1.21614899E9	0.0	1.21614899E9	
ENSG00000007866.19_424_1533	ENSG00000007866.19_424_1533			370	27.00				1.0000	0.9990	9	6	6	28	4	2	4	2	15	13	2.58455584E8	0.0	2.58455584E8	0.0	1.07634086E9	1.71264816E8	
ENSG00000007923.15_125_1801	ENSG00000007923.15_125_1801			559	68.00				1.0000	0.9990	36	116	73	116	66	50	46	27	66	50	6.8965934E9	4.7955436E9	6.6531359E9	4.16668877E9	6.8965934E9	4.7955436E9	
ENSG00000007923.15_5_586	ENSG00000007923.15_5_586			194	68.00				1.0000	0.9990	16	2	2	45	1	1	1	1	21	24	0.0	0.0	0.0	0.0	1.28017843E9	2.30766771E9	
ENSG00000007944.14_199_1533	ENSG00000007944.14_199_1533			445	41.30				1.0000	0.9990	12	15	15	15	9	6	9	6	9	6	5.3882548E7	0.0	5.3882548E7	0.0	5.3882548E7	0.0	
ENSG00000008018.8_100_822	ENSG00000008018.8_100_822			241	75.90				1.0000	0.9990	22	232	232	232	112	120	112	120	112	120	1.5622826E10	1.53337846E10	1.5622826E10	1.53337846E10	1.5622826E10	1.53337846E10	
ENSG00000008056.13_216_2330	ENSG00000008056.13_216_2330			705	72.50				1.0000	0.9990	49	118	118	118	73	45	73	45	73	45	1.7111808E9	1.05781197E9	1.7111808E9	1.05781197E9	1.7111808E9	1.05781197E9	
ENSG00000008083.13_245_3982	ENSG00000008083.13_245_3982			1246	51.80				1.0000	0.9990	67	129	129	129	75	54	75	54	75	54	7.3304765E9	1.20242821E10	7.3304765E9	1.20242821E10	7.3304765E9	1.20242821E10	
ENSG00000008086.11_28_2880	ENSG00000008086.11_28_2880			951	52.50				1.0000	0.9990	48	59	59	62	32	27	32	27	34	28	5.758688E8	8.6632296E7	5.758688E8	8.6632296E7	6.7341837E8	4.63654528E8	
ENSG00000008128.22_297_2390	ENSG00000008128.22_297_2390			698	54.20				1.0000	0.9990	52	148	147	148	77	71	77	70	77	71	4.16691354E9	4.23662541E9	4.16691354E9	4.23662541E9	4.16691354E9	4.23662541E9	
ENSG00000008130.15_244_1560	ENSG00000008130.15_244_1560			439	38.70				1.0000	0.9990	15	31	17	31	17	14	8	9	17	14	4.49765984E8	1.28964518E9	2.3474786E7	1.2984137E9	4.49765984E8	1.28964518E9	
ENSG00000008277.14_423_2933	ENSG00000008277.14_423_2933			837	47.20				1.0000	0.9990	33	64	64	64	34	30	34	30	34	30	1.49561549E9	2.26074778E9	1.49561549E9	2.26074778E9	1.49561549E9	2.26074778E9	
